id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
564029,470,82,2,1,A Coruña,0,0,0,1
564031,750,100,3,2,A Coruña,0,0,0,1
564032,425,62,2,1,A Coruña,0,0,0,0
564033,575,65,2,1,A Coruña,0,1,0,1
564034,400,60,2,1,A Coruña,0,0,0,0
564035,450,60,2,1,A Coruña,0,0,0,0
564036,425,60,2,1,A Coruña,0,0,0,0
564037,650,95,4,1,A Coruña,0,1,0,0
564038,425,60,2,1,A Coruña,0,1,0,1
564039,600,100,4,1,A Coruña,0,1,0,1
564040,400,55,2,1,A Coruña,0,0,0,1
564041,425,55,2,1,A Coruña,0,0,0,0
564042,450,60,2,1,A Coruña,0,0,0,0
564043,475,60,2,1,A Coruña,0,0,0,0
564044,400,60,2,1,A Coruña,0,0,0,0
564045,2000,130,3,1,A Coruña,0,0,0,0
564046,750,95,4,2,A Coruña,0,1,0,0
564047,450,60,2,1,A Coruña,0,0,0,0
564049,750,85,3,1,A Coruña,1,0,0,1
564050,600,120,3,1,A Coruña,0,1,0,0
564051,550,85,3,1,A Coruña,0,0,0,0
564052,550,75,3,1,A Coruña,0,0,0,0
564053,900,90,3,2,A Coruña,0,1,0,1
564054,550,85,3,1,A Coruña,0,0,0,1
564056,700,85,3,2,A Coruña,0,1,0,0
564057,900,90,3,2,A Coruña,1,1,0,0
564058,650,85,3,1,A Coruña,1,1,0,0
564060,400,45,2,1,A Coruña,0,1,0,0
564062,750,104,3,2,A Coruña,0,1,0,0
564063,500,60,2,1,A Coruña,0,0,0,0
564065,650,100,3,2,A Coruña,0,0,0,0
564066,550,89,3,1,A Coruña,0,1,0,0
564067,450,55,2,1,A Coruña,0,0,0,0
564068,900,80,3,2,A Coruña,0,0,0,0
564069,900,128,5,2,A Coruña,0,1,0,1
564070,325,35,1,1,A Coruña,0,0,0,1
564071,275,30,1,1,A Coruña,0,1,0,0
564072,350,45,1,1,A Coruña,0,0,0,0
564073,350,55,1,1,A Coruña,0,0,0,0
564074,800,100,4,2,A Coruña,1,0,0,1
564075,800,85,3,2,A Coruña,0,1,0,0
564076,1300,120,5,2,A Coruña,0,1,0,0
564077,425,50,1,1,A Coruña,0,1,0,1
564078,350,40,1,1,A Coruña,0,1,0,0
564079,375,55,1,1,A Coruña,0,1,0,0
564080,600,120,5,2,A Coruña,0,0,0,1
564083,375,40,1,1,A Coruña,0,1,0,0
564084,480,80,3,1,A Coruña,0,0,0,1
564085,600,55,2,1,A Coruña,0,1,0,0
